  Measurement Number     Measurement type
                  16            NewRelaib

      Measurement ID                 Mode
       739694.776394                WGFMU

        SetPulseBias        SetPulseWidth       ResetPulseBias      ResetPulseWidth
                  -3             0.000101                  3.5             0.000101

           Rise time            Fall Time           Separation
               1e-06                1e-06               0.0001

              Cycles       Steps in cycle         Test voltage
                 500                10000                    1

      Step        LRS        HRS
      3761  6873.2474  20250.243
      3781  7860.6527 19076.9261
      3801  6449.4987 24172.4277
      3821  6281.6979 28584.7527
      3841  5865.4193  37550.064
      3861  3066.8913 60669.8269
      3881  3601.3161 48600.9689
      3901  5317.0526 25434.7234
      3921  2962.1272 256982.8425
      3941  4041.2292 42371.2753
      3961  4487.0545 23007.6747
      3981  3703.1255 74582.9733
      4001  3990.8039 62497.2931
      4021   4633.721 51872.4459
      4041   4825.445 73820.8331
      4061  5107.6725 55512.3189
      4081   2781.832 36231.4022
      4101  2987.8697 43045.9024
      4121   2364.871 42227.8814
      4141   2260.445 26617.1465
      4161  4309.9657 16888.9551
      4181  4134.6797 15843.2356
      4201   3746.362 14391.8599
      4221  3450.9368 24814.8333
      4241  3634.0793 21614.8539
      4261   3575.822 22278.8831
      4281  3810.7407 19314.9165
      4301   3917.362 18981.0419
      4321  4213.0522 18836.9709
      4341  4174.1668 20920.2377
      4361  5490.9306 19699.6001
      4381  5162.1159 25279.2376
      4401  5152.7919 15302.7364
      4421  5699.2839 30490.4185
      4441  5526.1402  19842.319
      4461  3348.6694 16938.1728
      4481   3568.346 18955.1313
      4501  3973.0765 17557.2439
      4521  4025.4614 17969.7506
      4541  3685.6898 17071.7061
      4561  1302.0541 18987.8085
      4581  1298.2293 21095.8431
      4601  1389.7596 27139.5918
      4621  1435.5577 24669.2018
      4641  1287.8707 34350.6215
      4661   1353.539  34091.388
      4681  1363.3914 48803.6844
      4701  1429.4729 47237.1633
      4721  1286.7989 77960.5127
      4741  1256.5559 57952.5885
      4761  4074.8307  53866.666
      4781  4480.4915 38278.2626
      4801  1364.8086 134132.1705
      4821  1467.3322 54938.0477
      4841  1335.3681 57808.0243
      4861  1231.7456 53062.5312
      4881  1240.2859 48749.0169
      4901  1261.5853 34195.9201
      4921  3778.3872 41312.2848
      4941  1312.0658 47893.2894
      4961  1330.0176 40701.1838
      4981  1305.5971 46423.5881
      5001   1318.728 50185.2122
      5021  1439.5964  62245.487
      5041  1229.5308  65000.465
      5061  1484.5903 74107.4945
      5081  3697.4281 42298.9531
      5101  1301.8014 32896.5886
      5121  1488.4578 44405.2977
      5141  1571.5275  58760.815
      5161  1343.4814 38017.2851
      5181  1467.4564 36362.4575
      5201   1424.399 47347.4645
      5221   1485.662  27749.686
      5241  1443.9959  27531.963
      5261   1508.066 53467.1813
      5281  1339.3866 52973.5264
      5301   1230.326  45632.311
      5321  1285.4381 43502.9437
      5341  1216.4842  67713.804
      5361  3039.9333 55618.7342
      5381   1207.264  41278.359
      5401  1307.7506  57026.535
      5421  1123.7598 88025.2732
      5441  3576.9154 30677.5593
      5461  5094.7877 39323.4446
      5481  1381.8544 37181.9192
      5501  1473.2266 34056.5774
      5521   1431.995 51344.0645
      5541  1420.2811  31421.985
      5561  5071.3017 42475.1623
      5581  1471.9451  38042.006
      5601  1500.1393  40591.005
      5621  1319.6457  47352.493
      5641  1473.9342 42200.4177
      5661  1444.6173 50155.5869
      5681  1438.5496 41051.3909
      5701  1561.2867 64415.0139
      5721  1535.7434 58263.8751
      5741   1533.816 43397.6708
      5761  1455.7454 56189.7032
      5781  1652.3439 41371.6733
      5801   1757.806 50865.4567
      5821  1840.5002 44506.6404
      5841  1710.8854 47053.4326
      5861   1697.828 61801.3766
      5881  1874.3881  48783.668
      5901  1577.0123 85893.9205
      5921  1835.5152 59895.9498
      5941  1824.7633 68323.1003
