Positive pulse time array: 
0.000e+00,1.000e-07,1.000e-07,5.000e-08,1.000e-07,5.000e-06,1.000e-07,1.000e-07,
 
Positive pulse voltage array: 
0.000,0.000,1.750,1.750,-0.200,-0.200,0.000,0.000,
 
Negative pulse time array: 
0.000e+00,1.000e-07,1.000e-07,5.000e-08,1.000e-07,5.000e-06,1.000e-07,1.000e-07,
 
Negative pulse voltage array: 
0.000,0.000,-1.500,-1.500,-0.200,-0.200,0.000,0.000,
 
Positive repetition, Negative repetition, ?ycles: 
20.0,20.0,1.0

Time,Voltage,Current
3.175e-06,-0.206159,0.000101674
3.185e-06,-0.205439,0.000101688
3.195e-06,-0.205439,0.000101632
3.205e-06,-0.205439,0.000101583
3.215e-06,-0.205439,0.000101597
3.225e-06,-0.202559,0.000101604
3.235e-06,-0.204719,0.000101583
3.245e-06,-0.202559,0.000101549
3.255e-06,-0.205439,0.000101535
3.265e-06,-0.202559,0.000101542
3.275e-06,-0.203279,0.000101465
3.285e-06,-0.201119,0.00010141
3.295e-06,-0.202559,0.000101368
3.305e-06,-0.206159,0.000101368
3.315e-06,-0.204719,0.000101264
3.325e-06,-0.202559,0.000101159
3.335e-06,-0.203999,0.000101048
3.345e-06,-0.202559,0.000100999
3.355e-06,-0.202559,0.000100937
3.365e-06,-0.204719,0.000100909
3.375e-06,-0.202559,0.000100895
3.385e-06,-0.203279,0.000100853
3.395e-06,-0.200399,0.000100853
3.405e-06,-0.205439,0.000100888
3.415e-06,-0.203279,0.000100895
3.425e-06,-0.202559,0.000100909
3.435e-06,-0.200399,0.000100951
3.445e-06,-0.203999,0.000101034
3.455e-06,-0.203999,0.00010118
3.465e-06,-0.204719,0.000101229
3.475e-06,-0.203999,0.00010125
3.485e-06,-0.204719,0.000101298
3.495e-06,-0.203279,0.000101298
3.505e-06,-0.203999,0.000101326
3.515e-06,-0.205439,0.000101312
3.525e-06,-0.201119,0.000101284
3.535e-06,-0.202559,0.000101257
3.545e-06,-0.204719,0.000101291
3.555e-06,-0.204719,0.000101257
3.565e-06,-0.202559,0.000101187
3.575e-06,-0.203999,0.000101208
3.585e-06,-0.201839,0.000101201
3.595e-06,-0.201839,0.000101257
3.605e-06,-0.202559,0.000101236
3.615e-06,-0.204719,0.000101152
3.625e-06,-0.202559,0.000101201
3.635e-06,-0.201119,0.000101305
3.645e-06,-0.204719,0.000101375
3.655e-06,-0.201119,0.000101396
3.665e-06,-0.204719,0.000101277
3.675e-06,-0.203999,0.000101319
3.685e-06,-0.204719,0.000101326
3.695e-06,-0.202559,0.00010134
3.705e-06,-0.206159,0.000101305
3.715e-06,-0.201119,0.000101298
3.725e-06,-0.205439,0.000101271
3.735e-06,-0.203999,0.00010125
3.745e-06,-0.204719,0.00010134
3.755e-06,-0.201839,0.000101458
3.765e-06,-0.201839,0.000101549
3.775e-06,-0.202559,0.000101639
3.785e-06,-0.203279,0.000101667
3.795e-06,-0.200399,0.000101743
3.805e-06,-0.204719,0.000101799
3.815e-06,-0.204719,0.00010166
3.825e-06,-0.201119,0.000101583
3.835e-06,-0.201839,0.000101604
3.845e-06,-0.202559,0.000101597
3.855e-06,-0.201839,0.000101472
3.865e-06,-0.201839,0.000101424
3.875e-06,-0.203279,0.000101451
3.885e-06,-0.203999,0.000101486
3.895e-06,-0.201839,0.000101486
3.905e-06,-0.203999,0.000101403
3.915e-06,-0.201119,0.000101236
3.925e-06,-0.201119,0.000101131
3.935e-06,-0.202559,0.000101034
3.945e-06,-0.201119,0.000100971
3.955e-06,-0.205439,0.000100923
3.965e-06,-0.204719,0.000100944
3.975e-06,-0.203279,0.00010093
3.985e-06,-0.202559,0.000100791
3.995e-06,-0.201839,0.000100791
4.005e-06,-0.201119,0.000100707
4.015e-06,-0.203279,0.000100686
4.025e-06,-0.204719,0.000100672
4.035e-06,-0.201119,0.000100742
4.045e-06,-0.203279,0.00010086
4.055e-06,-0.203279,0.000100965
4.065e-06,-0.205439,0.000101013
4.075e-06,-0.205439,0.000101013
4.085e-06,-0.209759,0.000100951
4.095e-06,-0.202559,0.000100965
4.105e-06,-0.200399,0.000100985
4.115e-06,-0.203279,0.000100992
4.125e-06,-0.198958,0.000101034
4.135e-06,-0.204719,0.000101055
4.145e-06,-0.208319,0.000101083
4.155e-06,-0.201119,0.000101034
4.165e-06,-0.202559,0.00010102
4.175e-06,-0.201839,0.000101006
4.185e-06,-0.203279,0.000100965
4.195e-06,-0.203279,0.000100965
4.205e-06,-0.203279,0.000101069
4.215e-06,-0.201119,0.000101166
4.225e-06,-0.201839,0.000101173
4.235e-06,-0.206159,0.000101264
4.245e-06,-0.201839,0.000101312
4.255e-06,-0.202559,0.000101347
4.265e-06,-0.203999,0.000101298
4.275e-06,-0.203999,0.000101201
