Positive pulse time array: 
0.000e+00,1.000e-07,1.000e-07,5.000e-08,1.000e-07,5.000e-06,1.000e-07,1.000e-07,
 
Positive pulse voltage array: 
0.000,0.000,1.750,1.750,0.200,0.200,0.000,0.000,
 
Negative pulse time array: 
0.000e+00,1.000e-07,1.000e-07,5.000e-08,1.000e-07,5.000e-06,1.000e-07,1.000e-07,
 
Negative pulse voltage array: 
0.000,0.000,-1.500,-1.500,0.200,0.200,0.000,0.000,
 
Positive repetition, Negative repetition, ?ycles: 
5.0,5.0,1.0

Time,Voltage,Current
5.175e-06,0.20427,-4.86312e-07
5.185e-06,0.20427,-4.58494e-07
5.195e-06,0.20355,-5.0022e-07
5.205e-06,0.20643,-4.44585e-07
5.215e-06,0.20355,-4.23722e-07
5.225e-06,0.20427,-4.44585e-07
5.235e-06,0.20211,-4.79357e-07
5.245e-06,0.20715,-4.79357e-07
5.255e-06,0.20571,-5.14129e-07
5.265e-06,0.20499,-6.46263e-07
5.275e-06,0.20427,-7.3667e-07
5.285e-06,0.20211,-8.20123e-07
5.295e-06,0.20283,-8.06214e-07
5.305e-06,0.20427,-8.13169e-07
5.315e-06,0.20427,-8.68804e-07
5.325e-06,0.20139,-8.82713e-07
5.335e-06,0.20499,-7.71442e-07
5.345e-06,0.20499,-7.3667e-07
5.355e-06,0.19995,-7.15807e-07
5.365e-06,0.184829,-6.60172e-07
5.375e-06,0.171868,-2.56816e-07
5.385e-06,0.150986,1.46788e-06
5.395e-06,0.127225,5.04939e-06
5.405e-06,0.107783,1.08494e-05
5.415e-06,0.0912222,1.88122e-05
5.425e-06,0.0660204,2.92507e-05
5.435e-06,0.0480191,4.16017e-05
5.445e-06,0.0300178,5.55314e-05
5.455e-06,0.00769624,7.07824e-05
5.465e-06,0.00409599,8.7167e-05
5.475e-06,-0.000224321,0.000104143
5.485e-06,0.00265588,0.000113928
5.495e-06,-0.000224321,0.000113928
5.505e-06,0.00193583,0.000113928
5.515e-06,0.00337594,0.000113928
5.525e-06,-0.000224321,0.000113928
5.535e-06,0.00193583,0.000113928
5.545e-06,0.00337594,0.000113928
5.555e-06,-0.000224321,0.000113928
5.565e-06,0.000495731,0.000113928
5.575e-06,-0.000944372,0.000113928
5.585e-06,0.00409599,0.000113928
5.595e-06,-0.00454463,0.000113928
5.605e-06,0.00193583,0.000113928
5.615e-06,0.00121578,0.000113928
5.625e-06,0.00409599,0.000113928
5.635e-06,-0.00166442,0.000113928
5.645e-06,0.00409599,0.000113928
5.655e-06,0.0148968,0.000113928
5.665e-06,0.124345,0.000113928
5.675e-06,0.295717,0.000113928
5.685e-06,0.473569,0.000113928
5.695e-06,0.644222,9.20699e-05
5.705e-06,0.819914,3.44665e-05
5.715e-06,0.997047,-4.19415e-05
5.725e-06,1.18066,-0.000111618
5.735e-06,1.35923,-0.000112967
5.745e-06,1.53637,-0.000112967
5.755e-06,1.69406,-0.000112967
5.765e-06,1.75958,-0.000112967
5.775e-06,1.76462,-0.000112967
5.785e-06,1.7675,-0.000112967
5.795e-06,1.77686,-0.000112967
5.805e-06,1.76534,-0.000112967
5.815e-06,1.66813,-0.000112967
5.825e-06,1.51044,-0.000112967
5.835e-06,1.35275,-0.000112967
5.845e-06,1.20154,-0.000112967
5.855e-06,1.04529,-0.000112967
5.865e-06,0.886159,-0.000112967
5.875e-06,0.724147,-0.000112967
5.885e-06,0.563576,-0.000112967
