
Time,Voltage,Current
5.545e-06,-0.998867,-8.96972e-07
5.555e-06,-0.994645,-8.82727e-07
5.565e-06,-0.99746,-5.97819e-07
5.575e-06,-0.995349,-6.61923e-07
5.585e-06,-0.998163,-7.18905e-07
5.595e-06,-0.99746,-6.76168e-07
5.605e-06,-0.996756,-7.18905e-07
5.615e-06,-0.998867,-7.18905e-07
5.625e-06,-0.996053,-6.61923e-07
5.635e-06,-0.996756,-6.47678e-07
5.645e-06,-0.996756,-6.47678e-07
5.655e-06,-0.996053,-6.33432e-07
5.665e-06,-0.996053,-7.04659e-07
5.675e-06,-1.00168,-9.46831e-07
5.685e-06,-0.998163,-9.9669e-07
5.695e-06,-0.998163,-9.68199e-07
5.705e-06,-0.999571,-1.01094e-06
5.715e-06,-0.998867,-1.08929e-06
5.725e-06,-0.999571,-1.13202e-06
5.735e-06,-0.999571,-1.37419e-06
5.745e-06,-0.996756,-1.5024e-06
5.755e-06,-0.998163,-1.33858e-06
5.765e-06,-0.996756,-1.18188e-06
5.775e-06,-0.99746,-1.15339e-06
5.785e-06,-0.994645,-1.28872e-06
5.795e-06,-0.999571,-1.58787e-06
5.805e-06,-0.985499,-1.90127e-06
5.815e-06,-0.915843,-1.98675e-06
5.825e-06,-0.816636,-3.36855e-06
5.835e-06,-0.713911,-1.03417e-05
5.845e-06,-0.609076,-2.62467e-05
5.855e-06,-0.509869,-5.34483e-05
5.865e-06,-0.407848,-9.3193e-05
5.875e-06,-0.307234,-0.000116093
5.885e-06,-0.210842,-0.000116093
5.895e-06,-0.112338,-0.000116093
5.905e-06,-0.0208712,-0.000116093
5.915e-06,0.00727255,-0.000116093
5.925e-06,0.00867974,-0.000116093
5.935e-06,0.00445817,-0.000116093
5.945e-06,0.000940201,-0.000116093
5.955e-06,-0.00117058,-0.000116093
5.965e-06,-0.00468855,-0.000116093
5.975e-06,-0.00328136,-0.000116093
5.985e-06,-0.00539215,-0.000116093
5.995e-06,-0.00468855,-0.000116093
6.005e-06,-0.00679933,-0.000116093
6.015e-06,-0.00539215,-0.000116093
6.025e-06,-0.00398496,-0.000116093
6.035e-06,-0.00539215,-0.000116093
6.045e-06,-0.00398496,-0.000116093
6.055e-06,-0.00328136,-0.000116093
6.065e-06,-0.00187418,-0.000116093
6.075e-06,-0.00328136,-0.000116093
6.085e-06,-0.00468855,-0.000116093
6.095e-06,-0.00328136,-0.000116093
6.105e-06,-0.0497186,-0.000116093
6.115e-06,-0.33186,-0.000116093
6.125e-06,-0.718837,-0.000116093
6.135e-06,-1.12974,-0.000116093
6.145e-06,-1.53993,-0.000116093
6.155e-06,-1.95153,-0.000116093
6.165e-06,-2.35399,-0.000116093
6.175e-06,-2.75082,-0.000116093
6.185e-06,-3.14835,-0.000116093
6.195e-06,-3.54869,-0.000116093
6.205e-06,-3.89767,-0.000116093
6.215e-06,-4.0194,-0.000116093
6.225e-06,-4.00884,-0.000116093
6.235e-06,-4.0011,-0.000116093
6.245e-06,-4.00532,6.71249e-05
6.255e-06,-4.0011,0.000116678
6.265e-06,-3.99196,0.000116678
6.275e-06,-3.99125,0.000116678
6.285e-06,-3.98492,0.000116678
6.295e-06,-3.9807,0.000116678
6.305e-06,-3.97859,0.000116678
6.315e-06,-3.97718,0.000116678
6.325e-06,-3.97788,0.000116678
6.335e-06,-3.97718,0.000116678
6.345e-06,-3.97437,0.000116678
6.355e-06,-3.97577,0.000116678
6.365e-06,-3.97507,0.000116678
6.375e-06,-3.97507,0.000116678
6.385e-06,-3.97577,0.000116678
6.395e-06,-3.97437,0.000116678
6.405e-06,-3.97577,0.000116678
6.415e-06,-3.97296,0.000116678
6.425e-06,-3.97507,0.000116678
6.435e-06,-3.97718,0.000116678
6.445e-06,-3.97507,0.000116678
6.455e-06,-3.97366,0.000116678
6.465e-06,-3.97648,0.000116678
6.475e-06,-3.97577,0.000116678
6.485e-06,-3.97718,0.000116678
6.495e-06,-3.97577,0.000116678
6.505e-06,-3.98,0.000116678
6.515e-06,-3.97648,0.000116678
6.525e-06,-3.97859,0.000116678
6.535e-06,-3.9807,0.000116678
6.545e-06,-3.97929,0.000116678
6.555e-06,-3.97788,0.000116678
6.565e-06,-3.97929,0.000116678
6.575e-06,-3.97929,0.000116678
6.585e-06,-3.97577,0.000116678
6.595e-06,-3.98,0.000116678
6.605e-06,-3.97929,0.000116678
6.615e-06,-3.9814,0.000116678
6.625e-06,-3.97859,0.000116678
6.635e-06,-3.9814,0.000116678
6.645e-06,-3.9807,0.000116678
6.655e-06,-3.9807,0.000116678
6.665e-06,-3.98492,0.000116678
6.675e-06,-3.98211,0.000116678
6.685e-06,-3.98281,0.000116678
6.695e-06,-3.98422,0.000116678
6.705e-06,-3.95044,0.000116678
6.715e-06,-3.73514,0.000116678
6.725e-06,-3.44386,0.000116678
6.735e-06,-3.13779,0.000116678
6.745e-06,-2.82962,0.000116678
6.755e-06,-2.52004,0.000116678
6.765e-06,-2.21468,0.000116678
6.775e-06,-1.91495,0.000116678
6.785e-06,-1.62366,0.000116678
6.795e-06,-1.32111,0.000116678
6.805e-06,-1.05867,0.000116678
6.815e-06,-0.971427,0.000116678
6.825e-06,-0.972834,0.000116678
6.835e-06,-0.980574,0.000116678
6.845e-06,-0.982684,0.000116678
6.855e-06,-0.986906,0.000116678
6.865e-06,-0.992535,0.000116678
6.875e-06,-0.995349,0.000116678
6.885e-06,-0.998867,0.000116678
6.895e-06,-1.00379,0.000116678
6.905e-06,-1.0059,0.000116678
6.915e-06,-1.00309,0.000116678
6.925e-06,-1.00309,0.000116678
6.935e-06,-1.00027,0.000116678
6.945e-06,-1.0045,0.000116678
6.955e-06,-1.0059,0.000116678
6.965e-06,-1.00661,0.000116678
6.975e-06,-1.01012,0.000116678
6.985e-06,-1.00661,0.000116678
6.995e-06,-1.00872,0.000116678
7.005e-06,-1.00872,0.000116678
7.015e-06,-1.0045,0.000116678
7.025e-06,-1.0059,0.000116678
7.035e-06,-1.00731,0.000116678
7.045e-06,-1.00379,0.000111371
7.055e-06,-1.00731,3.91255e-05
7.065e-06,-1.0045,-4.43384e-05
7.075e-06,-1.0045,-0.000109825
7.085e-06,-1.00309,-0.000116093
7.095e-06,-1.00027,-0.000116093
7.105e-06,-1.00309,-0.000116093
7.115e-06,-1.0045,-0.000116093
7.125e-06,-1.00661,-0.000116093
7.135e-06,-1.00731,-0.000116093
7.145e-06,-1.0059,-0.000116093
7.155e-06,-1.00309,-0.000116093
7.165e-06,-1.0059,-0.000116093
7.175e-06,-1.0045,-0.000116093
7.185e-06,-1.00309,-0.000116093
7.195e-06,-1.00098,-0.000116093
7.205e-06,-1.00027,-0.000116093
7.215e-06,-1.00168,-0.000116093
7.225e-06,-1.00027,-0.000116093
7.235e-06,-1.00168,-0.000116093
7.245e-06,-1.00661,-0.000116093
7.255e-06,-1.0052,-0.000116093
7.265e-06,-1.00379,-0.000116093
7.275e-06,-0.999571,-0.000116093
7.285e-06,-1.00027,-0.000116093
7.295e-06,-1.00168,-0.000116093
7.305e-06,-0.998867,-0.000116093
7.315e-06,-1.00168,-0.000116093
7.325e-06,-1.00098,-0.000116093
7.335e-06,-1.00168,-0.000116093
7.345e-06,-0.999571,-0.000116093
7.355e-06,-1.00238,-0.000116093
7.365e-06,-0.999571,-0.00010746
7.375e-06,-1.00098,-7.56383e-06
7.385e-06,-1.00098,7.3635e-05
7.395e-06,-1.00168,0.000116678
7.405e-06,-1.00238,0.000116678
7.415e-06,-1.00027,0.000116678
7.425e-06,-1.00098,0.000116678
7.435e-06,-1.00098,0.000116678
7.445e-06,-1.00027,0.000116678
7.455e-06,-1.00238,0.000116678
7.465e-06,-1.00168,0.000116621
7.475e-06,-1.00168,7.86921e-05
7.485e-06,-1.00379,2.86551e-05
7.495e-06,-1.00098,1.04353e-05
