  Measurement Number     Measurement type
                   1            NewRelaib

      Measurement ID                 Mode
       739694.786261                WGFMU

        SetPulseBias        SetPulseWidth       ResetPulseBias      ResetPulseWidth
                -2.5             1.01e-05                    3             1.01e-05

           Rise time            Fall Time           Separation
               1e-07                1e-07                1e-05

              Cycles       Steps in cycle         Test voltage
                 512               100000                    1

      Step        LRS        HRS
      8557  2045.9738 114823.6948
      8580  3746.8653  99407.254
      8603  2814.1155 87899.5236
      8626  2789.6976 90130.5861
      8649  3164.4888 115138.594
      8672  1703.6133 91341.7098
      8695  2348.0047 108290.7169
      8718  2138.6938 120078.0764
      8741  1353.3157 86096.9957
      8764  2172.5452 95001.2116
      8787  2093.6253 101269.0296
      8810  1734.6959  1362.0343
      8833  1939.5695 102963.6625
      8856  2152.4639 92501.8303
      8879   2322.607 71964.5188
      8902  2227.8327 55175.0246
      8925  2045.0066 113059.4206
      8948  2360.2648 83890.9379
      8971  1807.0112 113798.4877
      8994  1743.9955 92382.1011
      9017   1752.814 94988.5683
      9040   1736.384 121509.0455
      9063  1821.3659 81524.1698
      9086  1797.5997 106085.6305
      9109  2063.5301 93654.9129
      9132  1804.7174 101745.4201
      9155  2062.4032 121343.7816
      9178  1864.0678 106911.9371
      9201  1790.2277 98842.8344
      9224  2134.4852  99922.174
      9247  2386.9684 101978.0119
      9270  1803.0034 114034.8476
      9293  2551.5738 119816.0331
      9316  2832.3515 83960.0171
      9339  2201.6908 114694.5389
      9362  1759.8804 114584.0599
      9385  2089.2069 123634.8727
      9408  2079.6377 38756.7395
      9431  2565.2194 102211.672
      9454  2255.6359 111662.094
      9477  2258.0479  1395.0314
      9500  3514.8382 21736.6347
      9523   1437.971 14621.4098
      9546  1948.9757  1428.6854
      9569  1688.8475 128394.3349
      9592  2331.9865 120585.2504
      9615  3269.9607 107605.0235
      9638   1746.509 104715.9765
      9661  4529.6091 92429.9555
      9684  3739.0729 135255.6608
      9707  3080.1211 121571.1288
      9730  4187.0912 96543.2337
      9753  1787.8153 111487.6748
      9776  1764.3743 106354.3645
      9799  1782.4753 114363.7434
      9822  1783.9365 109840.5835
      9845  1880.2384 111574.8162
      9868  1826.5162 106291.0054
      9891  3128.3575 102270.2526
      9914  1739.0748 99782.4845
      9937  3262.4275 111227.0708
      9960  3715.0181 139758.0061
      9983  4404.2238 119755.7225
     10006  5173.7457 136003.0755
     10029  3976.7111 142891.7147
     10052  1683.0292 87608.2125
     10075  7477.9102 88696.9195
     10098  6654.5222 102372.9346
     10121  6034.8193 111679.5688
     10144  6617.6878 113328.695
     10167   2214.444 133136.3728
     10190  2489.3419 73107.0464
     10213  1654.4756 123378.4105
     10236  1871.0997 81449.7433
     10259  1696.2083 100174.6115
     10282  1837.0704 109705.5184
     10305  1692.9012 124780.4346
     10328  3154.5167 120830.2204
     10351  3913.7576 93864.2981
     10374   4212.694 104120.2196
     10397  1712.8242 121529.7318
     10420  3832.2656 116018.2257
     10443  1646.3508 105849.6375
     10466  3312.3758 129207.8369
     10489  1662.2823 128625.7163
     10512  4547.9077 99504.2693
     10535  3404.8454 113907.4564
     10558   3580.159 109537.1589
     10581  4004.9609 108521.2301
     10604  4276.7594 96936.5874
     10627   4136.424 103037.9838
     10650  2286.4469 111192.4148
     10673  2046.1498 102021.7422
     10696  1739.9693 48108.9301
     10719  1579.3105 97907.2842
     10742  2456.4347  21533.991
     10765  1694.1511 120118.4968
     10788  2717.7311 12041.0299
     10811  1969.9383 127545.4077
     10834  2152.4444 31678.3155
     10857   2205.562 136889.9329
     10880  2555.8133 113436.7625
     10903  2582.8943 107378.3821
     10926  3198.2224 133385.1778
     10949  3851.9755 103546.2231
     10972  1322.2478  1333.8394
     10995  1325.5827  1328.5338
     11018  3580.0515 111209.7401
     11041  3965.9061 110486.7029
     11064  1929.7735 109773.0094
     11087  3544.0364 118208.6994
     11110  2477.6329 111977.4251
     11133  3614.2418 105318.5953
     11156  4009.2802 128325.0854
