  Measurement Number     Measurement type
                 122            NewRelaib

      Measurement ID                 Mode
       739694.759930                WGFMU

        SetPulseBias        SetPulseWidth       ResetPulseBias      ResetPulseWidth
                -2.5              0.00101                    3              0.00101

           Rise time            Fall Time           Separation
               1e-05                1e-05                0.001

              Cycles       Steps in cycle         Test voltage
                 554                10000                   10

      Step        LRS        HRS
     10810   1749.015 10105.5789
     10870  1697.2585  9930.4121
     10930  1385.0114   6821.112
     10990  1504.2583  7390.8267
     11050  1617.6078  5736.3065
     11110  1749.9188  6696.5072
     11170  1439.6861  7876.6893
     11230  1741.0457  7564.1538
     11290  1801.9109  8020.9826
     11350  1563.1114  8367.9263
     11410  1656.5222  8384.8531
     11470  1440.0665  6915.6423
     11530  1582.9971  8385.6254
     11590  1601.5995  8091.2194
     11650  1617.7885  6823.8028
     11710  1539.7752  6744.2866
     11770  1617.1577  8171.8549
     11830  1596.6273   6297.453
     11890  1657.9466   5425.206
     11950  1757.5789  5252.1462
     12010  1771.8458   5911.331
     12070  1525.0241  5778.3264
     12130  1382.3482  5851.5413
     12190   1210.399  6678.5641
     12250  1506.7675  6281.4941
     12310  1384.6534  6357.3384
     12370  1542.8742  6133.4272
     12430  1641.4993  8384.5202
     12490  1714.2061  7314.1297
     12550  1777.6472  6600.6381
     12610   1704.716  7054.8124
     12670  1804.8618  6996.0583
     12730  1764.0461  5643.5569
     12790  1656.7385   6763.916
     12850  1669.7796  4267.4301
     12910  1599.2036  6311.3597
     12970  1609.3929  6270.2772
     13030  1737.1802  6445.8614
     13090   1683.221  5216.3123
     13150  1733.3343  6031.2456
     13210  1666.0597  5471.0815
     13270  1551.2527  5351.5025
     13330  1646.3644  5443.1469
     13390  1549.0175  6095.0782
     13450  1583.9183  6068.4324
     13510  1514.9957  5487.0321
     13570  1497.6294  5211.3233
     13630  1538.1591  6162.8919
     13690  1391.1756  5313.5189
     13750   1467.289  5014.9905
     13810  1527.6816   5409.634
     13870  1518.4058  6005.7636
     13930  1493.5616  5539.6549
     13990  1333.5331  6480.0662
     14050  1330.6394  5404.2664
     14110  1438.5194  4763.8489
     14170  1380.4312   6240.586
     14230  1686.8551  5823.3261
     14290   1605.149  6554.3752
     14350  1580.4092  6130.2164
     14410  1651.5232  7374.8303
     14470  1282.0148  6482.6745
     14530  1314.4846  7388.3586
     14590  1367.5767  6873.0502
     14650  1485.2534  7251.6954
     14710  1125.2188  7095.9625
     14770  1629.0946  8144.3658
     14830  1547.1091  6699.6384
     14890   1538.348   8296.938
     14950  1545.6853   8471.746
     15010  1557.0223  8190.8902
     15070  1617.5113  8070.9322
     15130  1506.2625  8221.8383
     15190  1334.0179  8172.7718
     15250  1456.2238  9113.0247
     15310  1633.9338  7443.7518
     15370  1686.5307  8564.1961
     15430  1689.1729  7526.0953
     15490  1816.2127  7042.7997
     15550  1559.0296  7623.9907
     15610  1746.2969   6977.967
     15670  1855.2587  6061.0167
     15730    1634.39  6389.1109
     15790  1833.0896  5991.6012
     15850  1537.9088  6675.7636
     15910  1825.8096  7169.1619
     15970  1928.9362  7385.1838
     16030  1883.5371  6489.1575
     16090  1839.9902  7001.4355
     16150  1872.6647  5489.0224
     16210  1587.7709  5966.1175
     16270  2208.2535  6680.1231
     16330  1682.2761  6021.7165
     16390   1578.247  6395.8076
     16450  1574.8515  6027.7087
     16510  1646.4865  7120.4873
     16570  1884.8311   9219.319
     16630  1943.1969  6761.1565
     16690  1734.1843  5200.1003
     16750  1532.0546  8197.8458
     16810  1649.1473   6444.237
     16870  1605.1671  7695.2384
     16930  1743.9675  8187.7662
     16990  1899.1754   8912.835
     17050  1537.4568  6985.6131
     17110  1699.9313  5746.5038
     17170  1745.0288  6363.4315
     17230   1692.842   5878.121
     17290  1659.2507  6798.1021
     17350  1840.3549  6531.9931
     17410   2078.572  5894.3931
     17470  2195.9531  6687.4469
     17530  1777.2798  6575.2751
     17590   1599.934  5110.1313
     17650  1589.1959  5545.7224
     17710  1362.6815  5336.0344
     17770  1748.3595  4901.2152
     17830  1886.1503  5371.5155
     17890   2098.564  5985.7284
     17950  1958.6941  5790.0642
     18010  2028.7835  5956.6355
     18070  1932.8646  6354.2946
     18130  1778.1361  7841.4957
     18190  1870.3373  7009.3924
     18250  1918.2657  6925.7937
     18310  1975.4733  6891.0299
     18370  2004.1408  6482.4027
     18430   1488.352  7062.7538
     18490  1976.3466  5587.7793
     18550  1738.1817   5468.742
     18610  1878.0249  5356.3761
     18670  2001.9249  5423.4443
