
Time,Voltage,Current
8.2285e-05,-0.00178659,-6.40165e-06
8.2295e-05,-0.00249072,-6.11978e-06
8.2305e-05,-0.00178659,-5.34467e-06
8.2315e-05,-0.00178659,-4.49909e-06
8.2325e-05,-0.000378314,-3.58304e-06
8.2335e-05,-0.000378314,-3.58304e-06
8.2345e-05,-0.00108245,-3.79443e-06
8.2355e-05,-0.00249072,-4.07629e-06
8.2365e-05,-0.00249072,-4.99234e-06
8.2375e-05,0.000325823,-5.4856e-06
8.2385e-05,0.0017341,-6.04932e-06
8.2395e-05,-0.00108245,-6.8949e-06
8.2405e-05,0.000325823,-6.75397e-06
8.2415e-05,-0.00178659,-5.4856e-06
8.2425e-05,0.000325823,-4.21722e-06
8.2435e-05,-0.000378314,-3.8649e-06
8.2445e-05,0.000325823,-3.58304e-06
8.2455e-05,-0.000378314,-4.35815e-06
8.2465e-05,-0.00178659,-4.42862e-06
8.2475e-05,-0.000378314,-4.64002e-06
8.2485e-05,-0.000378314,-4.99234e-06
8.2495e-05,-0.000378314,-4.92188e-06
8.2505e-05,0.000325823,-4.00583e-06
8.2515e-05,0.0017341,-3.6535e-06
8.2525e-05,0.000325823,-3.30118e-06
8.2535e-05,-0.00178659,-3.30118e-06
8.2545e-05,-0.000378314,-3.51257e-06
8.2555e-05,0.00102996,-3.44211e-06
8.2565e-05,-0.000378314,-3.44211e-06
8.2575e-05,0.000325823,-3.79443e-06
8.2585e-05,-0.000378314,-4.21722e-06
8.2595e-05,-0.00108245,-3.58304e-06
8.2605e-05,0.000325823,-3.01932e-06
8.2615e-05,0.000325823,-3.16025e-06
8.2625e-05,0.000325823,-3.30118e-06
8.2635e-05,-0.00319486,-3.16025e-06
8.2645e-05,-0.000378314,-2.94885e-06
8.2655e-05,0.00243823,-3.23071e-06
8.2665e-05,-0.00108245,-3.58304e-06
8.2675e-05,-0.00178659,-3.72397e-06
8.2685e-05,0.00102996,-3.58304e-06
8.2695e-05,0.000325823,-4.35815e-06
8.2705e-05,-0.000378314,-4.49909e-06
8.2715e-05,0.000325823,-4.49909e-06
8.2725e-05,0.000325823,-4.28769e-06
8.2735e-05,0.000325823,-4.28769e-06
8.2745e-05,-0.00108245,-3.72397e-06
8.2755e-05,-0.000378314,-4.00583e-06
8.2765e-05,0.00102996,-3.51257e-06
8.2775e-05,-0.00178659,-3.01932e-06
8.2785e-05,0.000325823,-3.16025e-06
8.2795e-05,-0.00108245,-3.01932e-06
8.2805e-05,-0.000378314,-2.38513e-06
8.2815e-05,0.00384651,-2.38513e-06
8.2825e-05,0.000325823,-2.59653e-06
8.2835e-05,0.000325823,-2.10327e-06
8.2845e-05,0.00102996,-2.45559e-06
8.2855e-05,-0.000378314,-2.52606e-06
8.2865e-05,0.00102996,-2.17373e-06
8.2875e-05,-0.00178659,-1.53955e-06
8.2885e-05,-0.00108245,-8.34896e-07
