Positive pulse time array: 
0.000e+00,1.000e-07,1.000e-07,2.000e-07,1.000e-07,5.000e-06,1.000e-07,1.000e-07,
 
Positive pulse voltage array: 
0.000,0.000,2.050,2.050,-0.500,-0.500,0.000,0.000,
 
Negative pulse time array: 
0.000e+00,1.000e-07,1.000e-07,2.000e-07,1.000e-07,5.000e-06,1.000e-07,1.000e-07,
 
Negative pulse voltage array: 
0.000,0.000,-1.800,-1.800,-0.500,-0.500,0.000,0.000,
 
Positive repetition, Negative repetition, ?ycles: 
20.0,20.0,2.0

Time,Voltage,Current
9.49e-06,-0.513621,0.000353846
9.51e-06,-0.510381,0.000354937
9.53e-06,-0.510021,0.000354937
9.55e-06,-0.511101,0.000353353
9.57e-06,-0.509301,0.000352719
9.59e-06,-0.508581,0.000352508
9.61e-06,-0.510381,0.000350994
9.63e-06,-0.511101,0.000350642
9.65e-06,-0.509661,0.00035117
9.67e-06,-0.512541,0.000351733
9.69e-06,-0.510021,0.00035279
9.71e-06,-0.509661,0.00035279
9.73e-06,-0.511461,0.000351733
9.75e-06,-0.510021,0.000351381
9.77e-06,-0.509301,0.000351452
9.79e-06,-0.510741,0.000352332
9.81e-06,-0.510381,0.000352508
9.83e-06,-0.512181,0.000351874
9.85e-06,-0.511821,0.00035293
9.87e-06,-0.510381,0.000353916
9.89e-06,-0.511821,0.000354374
9.91e-06,-0.508581,0.000353986
9.93e-06,-0.510741,0.000352614
9.95e-06,-0.511101,0.000351557
9.97e-06,-0.510741,0.000351241
9.99e-06,-0.512901,0.000351769
1.001e-05,-0.511461,0.000352895
1.003e-05,-0.510741,0.000353775
1.005e-05,-0.510021,0.000355042
1.007e-05,-0.510021,0.000354374
1.009e-05,-0.511101,0.000353177
1.011e-05,-0.511821,0.000352543
1.013e-05,-0.511461,0.000352614
1.015e-05,-0.510381,0.000353036
1.017e-05,-0.511821,0.000352438
1.019e-05,-0.511101,0.000352614
1.021e-05,-0.508581,0.000353564
1.023e-05,-0.511821,0.000353106
1.025e-05,-0.511821,0.00035279
1.027e-05,-0.510381,0.000354022
1.029e-05,-0.511461,0.000354022
1.031e-05,-0.509661,0.000353564
1.033e-05,-0.510381,0.000352297
1.035e-05,-0.508221,0.000352191
1.037e-05,-0.511461,0.000351029
1.039e-05,-0.509661,0.000350396
1.041e-05,-0.510021,0.000351804
1.043e-05,-0.510021,0.000352262
1.045e-05,-0.510021,0.000352614
1.047e-05,-0.510021,0.000353071
1.049e-05,-0.511821,0.000353705
1.051e-05,-0.510021,0.000354338
1.053e-05,-0.509301,0.000352895
1.055e-05,-0.511821,0.00035198
1.057e-05,-0.509661,0.000352121
1.059e-05,-0.511101,0.000353106
1.061e-05,-0.510381,0.000353177
1.063e-05,-0.510741,0.000352332
1.065e-05,-0.510741,0.000350994
1.067e-05,-0.510381,0.000352156
1.069e-05,-0.510021,0.000352895
1.071e-05,-0.508941,0.000353423
1.073e-05,-0.510021,0.000353142
1.075e-05,-0.510381,0.000352156
1.077e-05,-0.510021,0.000351557
1.079e-05,-0.509661,0.000352402
1.081e-05,-0.510381,0.000352614
1.083e-05,-0.511101,0.000353388
1.085e-05,-0.511101,0.000353775
1.087e-05,-0.511461,0.000353916
1.089e-05,-0.510381,0.000353494
1.091e-05,-0.509301,0.000352578
1.093e-05,-0.510741,0.000351839
1.095e-05,-0.511821,0.000352297
1.097e-05,-0.510381,0.000352684
1.099e-05,-0.510021,0.000352086
1.101e-05,-0.510021,0.000352578
1.103e-05,-0.510381,0.000352121
1.105e-05,-0.512901,0.000352438
1.107e-05,-0.512541,0.000353177
1.109e-05,-0.511101,0.000352402
1.111e-05,-0.510381,0.000352508
1.113e-05,-0.509661,0.000351487
1.115e-05,-0.512541,0.000351417
1.117e-05,-0.510381,0.000352297
1.119e-05,-0.509661,0.000352015
1.121e-05,-0.490219,0.000351628
1.123e-05,-0.401293,0.000332408
1.125e-05,-0.303726,0.000224372
1.127e-05,-0.200399,2.41779e-05
1.129e-05,-0.0992314,-0.000221322
1.131e-05,-0.0189457,-0.000452775
1.133e-05,-0.00778486,-0.000632799
1.135e-05,0.000135705,-0.000693452
1.137e-05,-0.00382458,-0.000625019
1.139e-05,-0.00634476,-0.00048231
1.141e-05,-0.00490465,-0.00033425
1.143e-05,-0.00598473,-0.000204671
1.145e-05,-0.00382458,-9.97335e-05
1.147e-05,-0.00454463,-2.84493e-05
1.149e-05,-0.00490465,1.27724e-05
1.151e-05,0.0797014,3.22392e-05
1.153e-05,0.446928,-4.70008e-05
1.155e-05,0.846916,-0.000494138
1.157e-05,1.26383,-0.00109831
1.159e-05,1.6811,-0.00114348
1.161e-05,2.01052,-0.00114348
1.163e-05,2.062,-0.00114348
1.165e-05,2.07676,-0.00114348
1.167e-05,2.07352,-0.00114348
1.169e-05,2.07028,-0.00114348
1.171e-05,2.07496,-0.00114348
1.173e-05,2.07424,-0.00114348
1.175e-05,2.071,-0.00114348
1.177e-05,2.06992,-0.00114348
1.179e-05,2.0728,-0.00114348
1.181e-05,1.96552,-0.00114348
